author_id,publications,first_author,last_author,years_active,top_affiliations,openalex_ids,n_distinct_openalex_ids,orcid
Hafezi F,136,29,57,2006–2025,"Laboratory for Ocular Cell Biology, Center for Applied Biotechnology and Molecular Medicin (×10); Center for Applied Biotechnology and Molecular Medicine (CABMM), University of Zurich, Zur (×9)",A5003253011×132; A5021571073×3; A5053319338×1,3,0000-0001-8935-4558; https://orcid.org/0000-0001-8935-4558
Hafezi NL,26,2,2,2018–2025,"ELZA Institute, Dietikon, Switzerland. (×4); ELZA Institute, Dietikon/Zurich, Switzerland. (×4)",A5102717664×26,1,0000-0002-6240-4110; https://orcid.org/0000-0002-6240-4110
Seiler T,37,3,30,2003–2021,"Department of Ophthalmology, Technical University of Dresden, Dresden, Germany. gwollens@h (×4); Zurich, Switzerland. (×3)",A5089764794×31; A5110935800×2; A5074524111×1; A5015545991×1,5,https://orcid.org/0000-0002-6959-6936; https://orcid.org/0000-0003-2468-7030
Seiler TG,25,9,3,2013–2025,"Universitätsklinik für Augenheilkunde, Inselspital, Bern, Switzerland; Klinik für Augenhei (×2); The Klinik und Poliklinik für Augenheilkunde, Klinikum rechts der Isar, Technische Univers (×2)",A5089764794×19; A5110935800×5,2,0000-0002-6959-6936; https://orcid.org/0000-0002-6959-6936
Zhou X (Fudan),30,0,23,2011–2025,"Eye Institute and Department of Ophthalmology, Eye & ENT Hospital, Fudan University, Shang (×5); Eye and ENT Hospital of Fudan University, Myopia Key Laboratory of the Health Ministry, Sh (×2)",A5025243684×28; A5104684831×2,2,0000-0002-3465-1579; https://orcid.org/0000-0002-3465-1579
Kymionis GD,83,55,16,2007–2022,"Vardinoyiannion Eye Institute of Crete (VEIC), Faculty of Medicine, University of Crete, H (×6); Department of Ophthalmology, University of Lausanne, Jules-Gonin Eye Hospital, Fondation A (×5)",A5056071225×82; A5109962283×1,2,0000-0003-1618-8047; https://orcid.org/0000-0003-1618-8047
Mazzotta C,53,26,1,2006–2025,"Siena Crosslinking Center, Siena, Italy. (×3); From the Department of Medicine (Mazzotta, Sgheri, Bagaglia, Di Maggio), Surgery and Neuro (×3)",A5055577457×52,1,0000-0002-1829-9288; https://orcid.org/0000-0002-1829-9288
Kanellopoulos AJ,46,39,4,2007–2024,"LaserViison.gr Clinical and Research Eye Institute, Athens, Greece ; Department of Ophthal (×3); Department of Ophthalmology, LaserVision Clinical & Research Eye Institute, Athens, Greece (×2)",A5068230829×31; A5110317703×10; A5110119885×4; A5109860661×1,4,0000-0003-3595-3517; https://orcid.org/0000-0003-3595-3517
Randleman JB,42,6,17,2006–2025,"Los Angeles, California, USA. (×7); Cole Eye Institute (K.M.H., K.R., A.S.R., W.J.D.), Cleveland Clinic, Cleveland, OH; Storm  (×5)",A5057968930×22; A5004541780×20,2,https://orcid.org/0000-0001-8475-136X
Shetty R,39,22,3,2012–2023,"Department of Cornea and Refractive Surgery, Narayana Nethralaya Eye Hospital, Bangalore,  (×6); Narayana Nethralaya Eye Hospital, Bangalore, India. (×4)",A5108103258×21; A5107861684×10; A5110430717×3; A5026471525×1,8,https://orcid.org/0000-0002-4556-1587; https://orcid.org/0000-0002-5460-1712
Torres-Netto EA,42,5,6,2017–2025,"Laboratory for Ocular Cell Biology, Center for Applied Biotechnology and Molecular Medicin (×7); ELZA Institute, Dietikon, Switzerland. (×6)",A5018277501×42,1,0000-0002-9007-5895; https://orcid.org/0000-0002-9007-5895
Meek KM,25,1,13,2008–2025,"Structural Biophysics Research Group, School of Optometry and Vision Sciences, Cardiff Uni (×9); School of Optometry and Vision Sciences, Cardiff Institute for Tissue Engineering and Repa (×2)",A5046052577×25,1,0000-0002-9948-7538; https://orcid.org/0000-0002-9948-7538
Hillen MJP,24,0,5,2020–2025,"ELZA Institute, Dietikon, Switzerland. (×9); ELZA Institute, Zurich, Switzerland. (×3)",A5053797457×24,1,0000-0003-1277-9309; https://orcid.org/0000-0003-1277-9309
