author_id (rule off),publications (rule off),matching identity in primary run,its publications in primary run,occurrences shared,primary identities covered
Hafezi F,136,Hafezi F,136,136,1
Kymionis GD,83,Kymionis GD,83,83,1
Spoerl E,59,Spoerl E,59,59,1
Mazzotta C,53,Mazzotta C,53,53,1
Kanellopoulos AJ,46,Kanellopoulos AJ,46,46,1
Grentzelos MA,44,Grentzelos MA,44,44,1
Vinciguerra P,43,Vinciguerra P,43,43,1
Torres-Netto EA,42,Torres-Netto EA,42,42,1
Randleman JB,42,Randleman JB,42,42,1
Shetty R,39,Shetty R,39,39,1
Jhanji V,38,Jhanji V,38,38,1
Raiskup F,37,Raiskup F,37,37,1
Vinciguerra R,37,Vinciguerra R,37,37,1
Kling S,37,Kling S,37,37,1
Seiler T,37,Seiler T,37,37,1
Zhou X,30,Zhou X (Fudan),30,30,1
Lombardo M,28,Lombardo M,28,28,1
Pillunat LE,28,Pillunat LE,28,28,1
Hashemi H,27,Hashemi H,27,27,1
O'Brart DPS,27,O'Brart DPS,27,27,1
Hafezi NL,26,Hafezi NL,26,26,1
Gatzioufas Z,26,Gatzioufas Z,26,26,1
Wollensak G,26,Wollensak G,26,26,1
Seiler TG,25,Seiler TG,25,25,1
Seitz B,25,Seitz B,25,25,1
Meek KM,25,Meek KM,25,25,1
Bilgihan K,25,Bilgihan K,25,25,1
Lombardo G,25,Lombardo G,25,25,1
Sinha Roy A,25,Sinha Roy A,25,25,1
Richoz O,25,Richoz O,25,25,1
Asgari S,24,Asgari S,24,24,1
Hillen MJP,24,Hillen MJP,24,24,1
Dupps WJ,24,Dupps WJ,24,24,1
McGhee CNJ,23,McGhee CNJ,23,23,1
Nuijts RMMA,23,Nuijts RMMA,23,23,1
Mu G,23,Mu G,23,23,1
Chen S,22,Chen S (Wenzhou),22,22,1
Alió JL,22,Alió JL,22,22,1
Hersh PS,22,Hersh PS,22,22,1
Hayes S,21,Hayes S,21,21,1
