author,publications,n_with_citation_count,citations_total,mean,median,q1,q3,mean_normalised_citation_score,median_normalised_citation_score
Hafezi F,136,136,7129,52.4,20.0,8.0,66.2,1.69,1.13
Kymionis GD,83,83,4061,48.9,38,9.0,70.5,0.93,0.71
Spoerl E,59,59,12121,205.4,46,15.0,237.5,1.67,0.85
Mazzotta C,53,53,4996,94.3,43,18,121,2.29,1.61
Kanellopoulos AJ,46,46,3375,73.4,40.0,18.0,88.8,1.18,0.94
Grentzelos MA,44,44,1911,43.4,37.0,7.8,70.0,0.91,0.73
Vinciguerra P,43,43,2521,58.6,27,11.0,56.5,1.38,1.14
Torres-Netto EA,42,42,921,21.9,8.0,4.0,33.0,1.84,1.3
Randleman JB,42,42,2194,52.2,35.0,15.0,70.5,1.64,1.08
Shetty R,39,39,1342,34.4,23,8.5,38.5,1.21,0.83
Jhanji V,38,38,996,26.2,13.5,7.0,31.5,1.27,0.69
Raiskup F,37,37,2133,57.6,15,6,47,1.73,0.93
Vinciguerra R,37,37,1630,44.1,25,10,42,1.46,1.17
Kling S,37,37,1768,47.8,27,10,67,1.82,1.36
Seiler T,37,37,11001,297.3,155,37,374,1.5,1.07
Zhou X (Fudan),30,30,568,18.9,13.0,6.0,30.5,1.46,0.72
Lombardo M,28,28,597,21.3,16.0,8.0,27.0,1.03,0.84
Pillunat LE,28,28,3357,119.9,44.5,12.0,103.2,1.96,0.95
Hashemi H,27,27,828,30.7,10,5.5,38.0,1.06,0.4
O'Brart DPS,27,27,1779,65.9,46,34.5,88.0,1.51,1.23
Hafezi NL,26,26,529,20.3,8.5,4.2,25.8,1.8,1.2
Gatzioufas Z,26,26,792,30.5,4.0,1.0,21.2,0.86,0.33
Wollensak G,26,26,8808,338.8,173.5,56.8,353.2,1.09,0.92
Seiler TG,25,25,671,26.8,12,5,41,1.13,0.93
Seitz B,25,25,589,23.6,14,3,22,1.17,0.72
Meek KM,25,25,1028,41.1,27,5,55,1.4,0.95
Bilgihan K,25,25,407,16.3,10,6,21,0.56,0.44
Lombardo G,25,25,582,23.3,17,10,30,1.02,0.85
Sinha Roy A,25,25,924,37.0,23,10,44,1.05,0.84
Richoz O,25,25,1297,51.9,27,15,55,1.15,0.63
Asgari S,24,24,659,27.5,8.0,4.8,24.0,0.75,0.36
Hillen MJP,24,24,375,15.6,8.5,4.0,13.5,1.65,1.07
Dupps WJ,24,24,1477,61.5,42.0,6.8,54.2,1.39,0.91
McGhee CNJ,23,23,790,34.3,23,11.5,50.0,1.38,1.19
Nuijts RMMA,23,23,1115,48.5,26,9.5,71.0,1.35,0.85
Mu G,23,23,362,15.7,10,5.0,20.0,0.48,0.29
Chen S (Wenzhou),22,22,436,19.8,8.0,4.5,11.2,0.99,0.54
Alió JL,22,22,736,33.5,20.0,5.2,48.8,1.21,0.6
Hersh PS,22,22,2388,108.5,59.0,34.5,123.0,2.8,1.84
Hayes S,21,21,929,44.2,35,5,62,1.21,0.85
Diakonis VF,20,20,1264,63.2,59.5,35.2,78.5,1.22,1.1
Serrao S,20,20,421,21.1,15.0,7.5,27.0,1.16,0.95
Koppen C,20,20,488,24.4,15.0,7.8,21.2,0.8,0.63
Pallikaris IG,20,20,1154,57.7,44.5,25.8,79.5,0.94,0.77
Gokul A,20,20,379,18.9,20.0,5.2,28.0,0.97,1.06
Portaliou DM,20,20,1623,81.2,66.5,38.0,115.2,0.92,0.84
