name,publications,n_with_citation_count,citations_total,mean,median,q1,q3,mean_normalised_citation_score,median_normalised_citation_score,n_2015_2020,mean_2015_2020,median_2015_2020
Germany,191,190,15442,81.3,15.0,5.0,48.5,1.04,0.58,48,24.5,16.0
Australia,53,53,3222,60.8,22,6,37,1.66,0.84,14,55.3,30.5
Israel,48,48,2899,60.4,10.0,4.0,33.8,1.46,0.61,13,31.0,29
Japan,38,38,1995,52.5,15.0,7.0,34.2,2.79,0.69,17,29.5,17
Switzerland,132,132,6780,51.4,16.5,6.0,51.2,1.29,0.67,42,30.0,18.0
Greece,118,118,5942,50.4,30.5,10.0,64.0,0.88,0.69,34,25.6,11.0
Italy,194,194,9693,50.0,18.0,6.2,53.0,1.21,0.84,68,30.1,19.5
United States,386,385,15478,40.2,20,6,48,1.34,0.81,141,36.8,26
Netherlands,38,38,1499,39.4,22.5,8.2,45.5,1.19,0.75,23,41.4,23
United Kingdom,153,152,5607,36.9,16.0,4.8,41.2,1.04,0.64,62,34.1,18.0
Sweden,31,31,982,31.7,13,5.0,23.0,0.9,0.66,12,20.6,16.0
France,48,48,1517,31.6,10.0,4.0,42.2,0.78,0.38,18,26.1,11.0
Hong Kong,23,23,720,31.3,20,12.5,37.0,0.89,0.76,15,32.8,24
New Zealand,37,37,1154,31.2,21,3,32,1.22,1.03,15,51.1,31
Spain,69,69,2123,30.8,14,3,45,0.95,0.6,24,18.5,20.0
India,193,193,5599,29.0,13,3,33,1.1,0.68,67,37.5,22
Lebanon,21,21,494,23.5,18,8,39,1.32,0.92,12,24.2,17.5
Brazil,67,67,1516,22.6,13,4.5,30.5,0.63,0.52,19,19.1,14
Egypt,78,78,1691,21.7,13.0,6.0,24.0,0.93,0.54,38,18.4,14.0
Canada,54,53,1113,21.0,13,4,32,0.6,0.44,21,16.7,11
South Korea,25,25,510,20.4,11,7,21,0.73,0.54,15,18.5,11
Turkey,216,215,4064,18.9,10,3.0,21.5,0.71,0.49,102,18.9,13.5
Iran,109,108,1954,18.1,8.0,4.0,20.2,0.77,0.49,60,21.5,13.0
Saudi Arabia,34,34,583,17.1,8.5,2.0,24.0,0.66,0.49,10,24.3,19.0
China,257,257,3116,12.1,6,2,16,0.72,0.51,91,18.1,14
Russia,32,32,334,10.4,6.0,3.0,9.2,0.36,0.31,17,7.3,7
Romania,30,30,301,10.0,5.5,1.2,18.2,0.53,0.46,12,19.8,19.0
