name,publications,n_with_citation_count,citations_total,mean,median,q1,q3,mean_normalised_citation_score,median_normalised_citation_score,n_2015_2020,mean_2015_2020,median_2015_2020
Am J Ophthalmol,78,77,8023,104.2,35,11,107,1.72,1.23,26,58.3,36.5
Ophthalmology,43,43,3822,88.9,36,10.5,115.0,2.32,1.32,19,60.0,33
J Cataract Refract Surg,248,248,17146,69.1,27.0,8.0,63.2,1.18,0.87,97,33.4,23
Invest Ophthalmol Vis Sci,95,95,5949,62.6,35,20.0,60.5,1.35,0.92,41,31.7,28
Clin Exp Ophthalmol,22,22,1320,60.0,27.5,6.2,74.2,1.22,1.0,9,32.4,16
Curr Opin Ophthalmol,36,36,2045,56.8,29.0,14.8,54.8,1.08,0.84,13,39.3,29
Cont Lens Anterior Eye,24,24,1176,49.0,14.5,9.5,36.5,3.27,0.76,11,20.4,15
Br J Ophthalmol,37,37,1778,48.1,32,25,71,1.04,1.07,13,34.5,29
Eye Vis (Lond),22,22,999,45.4,31.0,7.5,73.8,2.12,1.38,14,54.6,41.0
J Refract Surg,268,267,11757,44.0,24,8.0,59.5,1.06,0.76,102,29.7,22.5
Acta Ophthalmol,50,50,2188,43.8,20.5,9.5,54.5,1.38,0.89,26,45.8,35.5
Cornea,331,329,14218,43.2,19,6,47,1.11,0.72,135,40.7,22
Biomed Res Int,23,23,740,32.2,22,16.0,43.0,0.78,0.68,14,23.4,19.5
PLoS One,32,32,1014,31.7,17.0,7.8,54.8,1.12,0.92,10,38.5,32.0
Curr Eye Res,55,55,1727,31.4,11,3.5,25.0,0.78,0.49,27,19.3,14
Eye (Lond),45,44,1269,28.8,11.5,3.0,34.8,0.91,0.66,15,23.9,18
Clin Exp Optom,24,24,674,28.1,10.5,1.0,25.0,0.82,0.51,9,46.8,13
Clin Ophthalmol,100,100,2531,25.3,11.5,5.0,27.0,1.09,0.56,37,22.2,17
J Ophthalmol,68,68,1683,24.8,13.0,4.8,27.2,0.68,0.49,34,20.8,15.5
Middle East Afr J Ophthalmol,21,21,519,24.7,20,11,33,0.6,0.44,12,21.8,20.5
Exp Eye Res,45,45,1103,24.5,15,6,32,1.08,0.87,14,36.3,31.0
Ophthalmologe,31,30,696,23.2,10.0,5.0,31.0,0.42,0.25,7,12.3,7
Graefes Arch Clin Exp Ophthalmol,52,52,1151,22.1,10.5,5.2,21.0,0.91,0.8,15,26.1,20
Eye Contact Lens,41,40,774,19.4,14.5,3.8,29.0,0.61,0.55,16,19.3,15.0
Indian J Ophthalmol,80,80,1455,18.2,9.5,4.0,24.0,0.91,0.62,27,22.1,16
Transl Vis Sci Technol,48,48,837,17.4,8.0,5.0,16.2,1.04,0.75,16,18.4,15.0
Eur J Ophthalmol,73,73,1154,15.8,10,3,22,0.55,0.41,20,18.8,12.5
BMC Ophthalmol,43,43,584,13.6,8,4.0,15.0,1.03,0.65,13,24.5,18
Int Ophthalmol,99,99,1259,12.7,5,2.0,16.0,0.67,0.41,38,22.1,12.0
Arq Bras Oftalmol,30,30,366,12.2,6.0,2.2,16.0,0.33,0.29,12,13.6,12.0
Klin Monbl Augenheilkd,46,46,561,12.2,7.0,1.0,12.5,0.34,0.22,17,10.2,7
Int J Ophthalmol,49,49,579,11.8,9,5,14,0.52,0.49,28,14.2,10.0
J Clin Med,35,35,401,11.5,9,2.5,16.5,1.45,1.07,2,18.5,18.5
J Fr Ophtalmol,32,32,271,8.5,4.0,0.8,10.0,0.27,0.19,15,8.1,8
Am J Ophthalmol Case Rep,21,21,132,6.3,6,1,10,0.39,0.42,8,10.5,10.0
Vestn Oftalmol,33,33,189,5.7,4,2,9,0.28,0.2,18,5.9,6.0
Zhonghua Yan Ke Za Zhi,25,25,43,1.7,1,0,3,0.07,0.04,8,2.0,1.5
