rank,country,publications,pct
1,United States,386,12.96
2,China,257,8.63
3,Turkey,216,7.25
4,Italy,194,6.51
5,India,193,6.48
6,Germany,191,6.41
7,United Kingdom,153,5.14
8,Switzerland,132,4.43
9,Greece,118,3.96
10,Iran,109,3.66
11,Egypt,78,2.62
12,Spain,69,2.32
13,Brazil,67,2.25
14,Canada,54,1.81
15,Australia,53,1.78
=16,France,48,1.61
=16,Israel,48,1.61
=18,Japan,38,1.28
=18,Netherlands,38,1.28
20,New Zealand,37,1.24
21,Saudi Arabia,34,1.14
22,Russia,32,1.07
23,Sweden,31,1.04
24,Romania,30,1.01
25,South Korea,25,0.84
26,Hong Kong,23,0.77
27,Lebanon,21,0.71
28,Austria,19,0.64
=29,Poland,18,0.6
=29,Singapore,18,0.6
31,Mexico,16,0.54
32,Norway,15,0.5
33,Colombia,14,0.47
=34,Ireland,13,0.44
=34,Pakistan,13,0.44
=34,Hungary,13,0.44
=37,Portugal,12,0.4
=37,Belgium,12,0.4
39,Croatia,11,0.37
=40,Peru,9,0.3
=40,Taiwan,9,0.3
=40,Denmark,9,0.3
=43,Argentina,8,0.27
=43,Jordan,8,0.27
=43,Bosnia and Herzegovina,8,0.27
=46,AG,7,0.24
=46,United Arab Emirates,7,0.24
=48,Thailand,5,0.17
=48,Finland,5,0.17
=48,Czechia,5,0.17
=48,Palestine,5,0.17
=52,South Africa,4,0.13
=52,Syria,4,0.13
=52,Nepal,4,0.13
=55,Cambodia,3,0.1
=55,Morocco,3,0.1
=55,Oman,3,0.1
=55,Ukraine,3,0.1
=59,Indonesia,2,0.07
=59,Philippines,2,0.07
=59,Slovakia,2,0.07
=59,Serbia,2,0.07
=59,Azerbaijan,2,0.07
=64,Tunisia,1,0.03
=64,Bahrain,1,0.03
=64,Qatar,1,0.03
=64,Kuwait,1,0.03
=64,SM,1,0.03
=64,BT,1,0.03
=64,Algeria,1,0.03
=64,Chile,1,0.03
=64,Estonia,1,0.03
=64,Cyprus,1,0.03
