country,first_author,rank_first,whole,rank_whole,fractional,rank_fractional
United States,386,1,547,1,413.79,1
China,257,2,280,2,252.05,2
Turkey,216,3,237,3,222.84,3
Italy,194,4,231,4,186.54,5
India,193,5,221,7,185.87,6
Germany,191,6,230,=5,190.43,4
United Kingdom,153,7,230,=5,156.91,7
Switzerland,132,8,203,8,137.16,8
Greece,118,9,139,9,117.16,9
Iran,109,10,116,10,104.46,10
Egypt,78,11,85,13,76.39,11
Spain,69,12,91,12,67.87,13
Brazil,67,13,92,11,68.46,12
Canada,54,14,61,17,54.11,15
Australia,53,15,84,14,56.96,14
France,48,=16,64,15,50.33,16
Israel,48,=16,62,16,48.97,17
Japan,38,=18,49,19,36.8,=18
Netherlands,38,=18,54,18,36.8,=18
New Zealand,37,20,41,22,35.39,20
Saudi Arabia,34,21,44,20,33.56,22
Russia,32,22,43,21,34.51,21
Sweden,31,23,33,23,27.76,24
Romania,30,24,31,=25,29.95,23
South Korea,25,25,25,29,23.92,25
Hong Kong,23,26,31,=25,20.35,27
Lebanon,21,27,32,24,23.07,26
Austria,19,28,29,27,19.61,28
Poland,18,=29,24,30,17.51,30
Singapore,18,=29,28,28,19.3,29
