metric,value
n_corpus,3223
corpus_mode,query
esearch_date,2026-09-10
esearch_count,3275
n_raw_retrieved,3269
n_out_of_window,0
n_kept_after_filter,3223
year_rule,earliest
n_openalex_matched,3212
n_openalex_unmatched,11
n_no_doi,76
n_citation_count_known,3212
n_citation_count_null,11
citation_source=openalex,3212
citation_source=none,11
country_source=openalex_ror,2864
country_source=no_affiliation,233
country_source=affil_country_name,108
country_source=unresolved,10
country_source=affil_city_hint,4
country_source=affil_country_name_propagated,2
country_source=affil_unresolved,2
openalex_fetched_month=2026-09,3223
