pmid,year,journal,title,stage,rule_id,detail
41488431,2025,Materials today. Bio,"Antibiotic nanozyme hydrogel depot for single-injection MDR bacterial keratitis therapy via localized antibacterial, pro-healing and corneal reinforcement.",manual,manual.exclude,"Antibiotic nanozyme hydrogel for bacterial keratitis; 'corneal cross-linking' is an author keyword only, procedure not studied [Claude-proposed 2026-09-10]"
41362441,2025,International journal of pharmaceutics: X,Ionto phoretic delivery of caspofungin acetate to the cornea and sclera and its intracorneal biodistribution.,manual,manual.exclude,Iontophoretic caspofungin delivery; CXL mentioned only as context [Claude-proposed 2026-09-10]
41010803,2025,Journal of clinical medicine,Cross-Linked Carboxymethyl Cellulose and Silk Proteins in Corneal Re-Epithelialization: A Case Series.,manual,manual.exclude,Cross-linked CMC/silk biomaterial for re-epithelialisation; not CXL procedure [Claude-proposed 2026-09-10]
40793233,2025,Applied optics,Method for quality-assessing excised human corneal buttons for nanoparticle visualization.,manual,manual.exclude,Optical quality assessment of corneal buttons for nanoparticle imaging; not CXL [Claude-proposed 2026-09-10]
40536502,2025,Lupus,Sirtuin-1 in systemic lupus erythematosus: Frequency of keratoconjunctivitis sicca and relation to disease activity.,content,content.no_cxl_signal,"no cross-linking term in title, abstract or keywords"
40134920,2025,Frontiers in medicine,Editorial: Seeing is believing: cutting-edge technologies transforming ophthalmology.,manual,manual.exclude,Editorial on ophthalmic technologies; CXL not the subject [Claude-proposed 2026-09-10]
40083774,2025,Bioactive materials,In situ UNIversal Orthogonal Network (UNION) bioink deposition for direct delivery of corneal stromal stem cells to corneal wounds.,manual,manual.exclude,"UNION collagen bioink that crosslinks in situ for stromal cell delivery; biomaterial chemistry, not CXL [Claude-proposed 2026-09-10]"
39463181,2024,Turkish journal of ophthalmology,Conjunctival Collagen Cross-Linking for the Treatment of Leaking Avascular Cystic Bleb.,manual,manual.exclude,"Riboflavin/UVA cross-linking of a leaking conjunctival bleb; conjunctival, not corneal (consistent with the scleral CXL exclusion) [Claude-proposed 2026-09-10]"
39070790,2024,Frontiers in pharmacology,Editorial: Research and advances on medication for corneal diseases and surgery.,manual,manual.exclude,Editorial on corneal medication research; CXL not the subject [Claude-proposed 2026-09-10]
38446253,2024,Molecular biology reports,Use of discarded corneo-scleral rims to create cornea-like tissue.,manual,manual.exclude,"Cornea-like tissue from discarded corneo-scleral rims fortified by collagen crosslinking; tissue engineering, not the CXL procedure [Claude-proposed 2026-09-10]"
38131919,2023,"Gels (Basel, Switzerland)",Sustained Release of Voriconazole Using 3D-Crosslinked Hydrogel Rings and Rods for Use in Corneal Drug Delivery.,manual,manual.exclude,"3D-crosslinked hydrogel rings for voriconazole delivery; polymer crosslinking, not CXL [Claude-proposed 2026-09-10]"
37689255,2023,International journal of pharmaceutics,"A promising synthetic citric crosslinked β-cyclodextrin derivative for antifungal drugs: Solubilization, cytotoxicity, and antifungal activity.",manual,manual.exclude,Citric-acid crosslinked beta-cyclodextrin for antifungal drugs; not CXL [Claude-proposed 2026-09-10]
37637359,2023,Orthopedic research and reviews,Exogenous Crosslinking of Tendons as a Strategy for Mechanical Augmentation and Repair: A Narrative Review.,journal,journal.orthop,Orthop
37277716,2023,BMC ophthalmology,Increased METTL3 expression and m6A RNA methylation may contribute to the development of dry eye in primary Sjögren's syndrome.,content,content.no_cxl_signal,"no cross-linking term in title, abstract or keywords"
36361942,2022,International journal of molecular sciences,Topical Omega-3 Fatty Acids Eyedrops in the Treatment of Dry Eye and Ocular Surface Disease: A Systematic Review.,manual,manual.exclude,Omega-3 eyedrops for dry eye; not CXL [Claude-proposed 2026-09-10]
35929237,2022,Biomaterials advances,Properties of the acellular porcine cornea crosslinked with UVA/riboflavin as scaffolds for Boston Keratoprosthesis.,journal,journal.biomaterials,Biomaterial
35815427,2022,Biomaterials science,Smart contact lens containing hyaluronate-rose bengal conjugate for biophotonic myopia vision correction.,journal,journal.biomaterials,Biomaterial
35643198,2022,Acta biomaterialia,Ruthenium-induced corneal collagen crosslinking under visible light.,journal,journal.biomaterials,biomaterial
35358736,2022,Acta biomaterialia,Construction of tissue-engineered human corneal endothelium for corneal endothelial regeneration using a crosslinked amniotic membrane scaffold.,journal,journal.biomaterials,biomaterial
