pmid,year,journal,title,decision,stage,rule_id,detail,flags
42686044,2025,Cornea,Outcomes of the Sub400 Protocol and Contact Lens-Assisted Corneal Cross-Linking in Advanced Thin-Cornea Keratoconus: Clinical Efficacy and Long-Term Visual Stability.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
42004649,2025,Advances in ophthalmology practice and research,Changes in the morphology and function of the sub-basal corneal nerve plexus after accelerated corneal cross-linking: A one-year follow-up study.,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
41982829,2025,Journal of current ophthalmology,Decoding Cone Morphology in Keratoconus: A Retrospective Study on Contact Lens Selection in Turkish Patients.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',ophthalmology_journal
41982825,2025,Journal of current ophthalmology,Mesenchymal Stem Cell-Derived Exosomes for Keratoconus: A Novel Therapeutic Approach.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',ophthalmology_journal
41767940,2025,Biomedical optics express,Ultrafast line-field holographic elastography with single excitation for corneal biomechanical characterization.,keep,keep,keep.content,signal='riboflavin' ophth='cornea',
41597328,2025,"Medicina (Kaunas, Lithuania)",Early Detection of Keratoconus: Diagnostic Advances and Their Impact on Visual Outcomes: A Systematic Review.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',
41488708,2025,Journal of current ophthalmology,"Long-Term Outcomes of 10-Minute Accelerated Corneal Cross-Linking on Structural, Topographic, and Tomographic Corneal Parameters: A 5-Year Prospective Study.",keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
41488568,2025,Ophthalmology science,Data-Driven Detection of Subclinical Keratoconus via Semi-Supervised Clustering of Multidimensional Corneal Biomarkers.,keep,keep,keep.content,signal='Cross-link' ophth='Keratocon',ophthalmology_journal
41488431,2025,Materials today. Bio,"Antibiotic nanozyme hydrogel depot for single-injection MDR bacterial keratitis therapy via localized antibacterial, pro-healing and corneal reinforcement.",exclude,manual,manual.exclude,"Antibiotic nanozyme hydrogel for bacterial keratitis; 'corneal cross-linking' is an author keyword only, procedure not studied [Claude-proposed 2026-09-10]",
41488011,2025,"Clinical ophthalmology (Auckland, N.Z.)",Understanding Keratoconus in Down Syndrome: From Etiology to Management - A Narrative Review.,keep,keep,keep.content,signal='cross-link' ophth='Keratocon',ophthalmology_journal
41487877,2025,Cureus,Argon Laser Phototherapy as an Adjunctive Treatment for Refractory Fungal Keratitis: A Retrospective Case Series.,keep,keep,keep.content,signal='pack-cxl' ophth='Keratitis',cxl_signal_in_keywords_only
41470103,2025,"Medicina (Kaunas, Lithuania)",Can Insulin Drops Accelerate Corneal Healing After Corneal Cross-Linking? A Preliminary Case Series.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',
41463605,2025,"Bioengineering (Basel, Switzerland)",Comparative Analysis of Two Measurement Modalities for Ex Vivo Analysis of Corneal Stiffness in Porcine Corneas.,keep,manual,manual.include,Ex vivo stiffness measurement after CXL (tensile vs AFM) — CXL outcome study [Claude-proposed 2026-09-10],
41460917,2025,Eye & contact lens,Evaluation of Optical Coherence Tomography-Angiography Findings in Keratoconus Patients Treated With Accelerated Cross-linking Protocol.,keep,keep,keep.content,signal='Cross-link' ophth='Tomograph',ophthalmology_journal
41441936,2025,International ophthalmology,Comparison of conventional corneal crosslinking with the accelerated procedure in progressive keratoconus.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
41427448,2025,GMS ophthalmology cases,Results of contralateral Athens and decentered individualized sphero-cylindrical (DISC) protocols for keratoconus management.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
41411984,2025,Journal francais d'ophtalmologie,Risk factors for keratoconus progression and changes in corneal swept source OCT parameters.,keep,keep,keep.content,signal='CXL' ophth='keratocon',ophthalmology_journal
41411262,2025,PloS one,High-resolution biomechanical mapping of SMILE and SMILE with CXL using Brillouin microscopy: Insights into localized corneal stiffness preservation.,keep,manual,manual.include,SMILE and SMILE+CXL biomechanical mapping [Claude-proposed 2026-09-10],
41385122,2025,International ophthalmology,Refractive lenticule-assisted accelerated corneal cross-linking: a three-year clinical observation in patients with thin keratoconus.,keep,keep,keep.content,signal='cross-link' ophth='Refractive',ophthalmology_journal
41379987,2025,Cornea,Clinical Outcomes of Rose Bengal Photodynamic Therapy for Severe Infectious Keratitis.,keep,keep,keep.content,signal='Rose Bengal' ophth='Keratitis',ophthalmology_journal
41379517,2025,Cornea,Utility of Stromal Thickness Maps in Surgical Decision Making for Corneal Crosslinking in Patients With Keratoconus.,keep,keep,keep.content,signal='Crosslink' ophth='Stroma',ophthalmology_journal
41369671,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Outcomes of Accelerated Corneal Cross-linking With Hypo-osmolar Riboflavin in Corneas Thinner Than 400 µm: A Comparative Study Based on Intraoperative Corneal Thickness.,keep,keep,keep.content,signal='Cross-link' ophth='Cornea',ophthalmology_journal
41362441,2025,International journal of pharmaceutics: X,Ionto phoretic delivery of caspofungin acetate to the cornea and sclera and its intracorneal biodistribution.,exclude,manual,manual.exclude,Iontophoretic caspofungin delivery; CXL mentioned only as context [Claude-proposed 2026-09-10],
41348243,2025,International ophthalmology,Comparison of corneal pachymetry evolution after accelerated corneal crosslinking in keratoconus eyes using anterior segment optical coherence tomography and Scheimpflug imaging.,keep,keep,keep.content,signal='crosslink' ophth='cornea',ophthalmology_journal
41334308,2025,Journal of current ophthalmology,A Novel Oxygen Chamber for Corneal Cross-Linking in a High-Oxygen Environment: A Pilot Study and Clinical Outcomes.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',ophthalmology_journal
41328956,2025,Journal of pediatric ophthalmology and strabismus,Keratometric Evaluation of the Anterior and Posterior Corneal Surface Before and After Corneal Cross-linking for Pediatric Keratoconus.,keep,keep,keep.content,signal='Cross-link' ophth='Keratometr',ophthalmology_journal
41320236,2025,Journal of medical economics,Corneal cross-linking for keratoconus: a global economic and clinical perspective.,keep,keep,keep.content,signal='cross-link' ophth='Cornea',no_abstract
41310557,2025,BMC ophthalmology,Preferred practice patterns in the management of keratoconus: a national survey of cornea specialists in Saudi Arabia.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
41303765,2025,"Medicina (Kaunas, Lithuania)",Comparative Analysis of Corneal Densitometry Changes Following Standard Versus Accelerated Corneal Cross-Linking Protocol.,keep,keep,keep.content,signal='Cross-Link' ophth='Cornea',
41253010,2025,Journal of the mechanical behavior of biomedical materials,Collagen content and crosslinks alter the biomechanical properties of corneal tissues.,keep,keep,keep.content,signal='crosslink' ophth='cornea',
41252778,2025,Contact lens & anterior eye : the journal of the British Contact Lens Association,Incidence of keratoconus following allergic conjunctivitis: a multicenter retrospective cohort study using a U.S. healthcare network database.,keep,keep,keep.content,signal='cross-link' ophth='keratocon',ophthalmology_journal
41247447,2025,International ophthalmology,Clinical outcomes of femtosecond laser-assisted laser in situ keratomileusis combined with accelerated corneal cross-linking versus standard femtosecond laser-assisted laser in situ keratomileusis for,keep,keep,keep.content,signal='cross-link' ophth='cornea',ophthalmology_journal
