pmid,year,position,journal,type,title
40626437,2025,last,J Refract Surg,,A Transepithelial Corneal Cross-linking (CXL) Protocol Providing the Same Biom
40626429,2025,5 of 6,J Refract Surg,,Assessing Endothelial Integrity in Patients With Progressive Keratoconus and T
39530978,2024,6 of 7,J Refract Surg,Comparative Study,Corneal Allogenic Intrastromal Ring Segments (CAIRS) Versus Synthetic Segments
39254239,2024,5 of 8,J Refract Surg,Comparative Study,Prospective Objective Analysis of Corneal Haze Following Customized Transepith
37937759,2023,5 of 6,J Refract Surg,,Corneal Allogenic Intrastromal Ring Segments (CAIRS) for Corneal Ectasia: A Co
35686709,2022,5 of 9,J Refract Surg,Randomized Controlled Trial,Comparative Contralateral Randomized Clinical Trial of Standard (3 mW/cm2) Ver
33577693,2021,9 of 10,J Refract Surg,,Mitomycin C Application After Corneal Cross-linking for Keratoconus Increases 
33577692,2021,first,J Refract Surg,,Corneal Cross-linking at the Slit Lamp.
32539132,2020,last,Invest Ophthalmol Vis Sci,"Research Support, Non-U.S. Gov't",Quasi-Static Optical Coherence Elastography to Characterize Human Corneal Biom
32267957,2020,last,J Refract Surg,,Accelerated Corneal Cross-linking as an Adjunct Therapy in the Management of P
31917851,2020,last,J Refract Surg,,Similar Biomechanical Cross-linking Effect After SMILE and PRK in Human Cornea
31710374,2019,5 of 7,J Refract Surg,,Depth-Dependent Reduction of Biomechanical Efficacy of Contact Lens-Assisted C
30984983,2019,3 of 5,J Refract Surg,,Biomechanical Impact of Localized Corneal Cross-linking Beyond the Irradiated 
30428097,2018,last,J Refract Surg,,Oxygen Diffusion May Limit the Biomechanical Effectiveness of Iontophoresis-As
29738593,2018,2 of 3,J Refract Surg,Case Reports; Review,Bilateral Keratoconus Induced by Secondary Hypothyroidism After Radioactive Io
29117410,2017,last,J Refract Surg,Editorial,Corneal Cross-Linking (CXL): Standardizing Terminology and Protocol Nomenclatu
28407170,2017,last,J Refract Surg,Letter,CXL at the Slit Lamp: No Clinically Relevant Changes in Corneal Riboflavin Dis
28264134,2017,3 of 4,J Refract Surg,,Biomechanical Weakening of Different Re-treatment Options After Small Incision
28192592,2017,last,J Refract Surg,,An Algorithm to Predict the Biomechanical Stiffening Effect in Corneal Cross-l
28068449,2017,last,J Refract Surg,,Repeated Cross-linking After a Short Time Does Not Provide Any Additional Biom
27304600,2016,last,J Refract Surg,Clinical Study; Multicenter Study,Transepithelial Corneal Cross-linking Using an Enhanced Riboflavin Solution.
27027629,2016,3 of 5,J Refract Surg,Comparative Study; Randomized Controlled,Stromal Demarcation Line in Pulsed Versus Continuous Light Accelerated Corneal
26653730,2015,last,J Refract Surg,Comparative Study,Increased Biomechanical Efficacy of Corneal Cross-linking in Thin Corneas Due 
25735044,2015,3 of 4,J Refract Surg,Comparative Study,Matched comparison study of total and partial epithelium removal in corneal cr
