pattern,is_regex,canonical,parent,cluster,country,tier,note
carl gustav carus,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,1,Dresden variants merged
universitätsklinikum dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,1,
university hospital dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,1,
universitatsklinikum dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,1,
tu dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,2,
technische universität dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,2,
technische universitat dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,2,
technical university of dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,2,
dresden university of technology,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,2,
university of dresden,0,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,2,
\bdresden\b,1,TU Dresden / University Hospital Carl Gustav Carus,TU Dresden,,Germany,3,"regex, lowest priority: any Dresden ophthalmology affiliation"
university of siena,0,University of Siena,University of Siena,,Italy,2,
università di siena,0,University of Siena,University of Siena,,Italy,2,
universita di siena,0,University of Siena,University of Siena,,Italy,2,
siena university,0,University of Siena,University of Siena,,Italy,2,
siena cross,0,Siena Crosslinking Center,University of Siena,,Italy,1,Mazzotta's centre; parent Siena
policlinico le scotte,0,University of Siena,University of Siena,,Italy,1,
\bsiena\b,1,University of Siena,University of Siena,,Italy,3,regex fallback
elza institute,0,ELZA Institute,ELZA Institute,zurich_cxl,Switzerland,1,
elza,0,ELZA Institute,ELZA Institute,zurich_cxl,Switzerland,1,
iroc,0,IROC Zurich,IROC Zurich,zurich_cxl,Switzerland,1,
institute for refractive and ophthalmic surgery,0,IROC Zurich,IROC Zurich,zurich_cxl,Switzerland,1,
university of zurich,0,University of Zurich,University of Zurich,zurich_cxl,Switzerland,2,
universität zürich,0,University of Zurich,University of Zurich,zurich_cxl,Switzerland,2,
universitat zurich,0,University of Zurich,University of Zurich,zurich_cxl,Switzerland,2,
univ zurich,0,University of Zurich,University of Zurich,zurich_cxl,Switzerland,2,
univ. of zurich,0,University of Zurich,University of Zurich,zurich_cxl,Switzerland,2,
cabmm,0,University of Zurich,University of Zurich,zurich_cxl,Switzerland,2,Center for Applied Biotechnology and Molecular Medicine
center for applied biotechnology and molecular medicine,0,University of Zurich,University of Zurich,zurich_cxl,Switzerland,2,
universitätsspital zürich,0,University Hospital Zurich,University of Zurich,,Switzerland,1,cluster membership: Mark to decide
university hospital zurich,0,University Hospital Zurich,University of Zurich,,Switzerland,1,
universityhospital zurich,0,University Hospital Zurich,University of Zurich,,Switzerland,1,
eth zurich,0,ETH Zurich,ETH Zurich,,Switzerland,2,
swiss federal institute of technology,0,ETH Zurich,ETH Zurich,,Switzerland,2,
university of geneva,0,University of Geneva,University of Geneva,,Switzerland,2,
université de genève,0,University of Geneva,University of Geneva,,Switzerland,2,
geneva university hospitals,0,Geneva University Hospitals,University of Geneva,,Switzerland,1,
hôpitaux universitaires de genève,0,Geneva University Hospitals,University of Geneva,,Switzerland,1,
hopitaux universitaires de geneve,0,Geneva University Hospitals,University of Geneva,,Switzerland,1,
\bhug\b,1,Geneva University Hospitals,University of Geneva,,Switzerland,1,regex
inselspital,0,Inselspital Bern,University of Bern,,Switzerland,1,
university of bern,0,University of Bern,University of Bern,,Switzerland,2,
massachusetts eye,0,Massachusetts Eye and Ear,Harvard Medical School,,United States,1,
