rank,institution,publications,pct_of_resolved,citations,n_cited_known
1,University of Crete,69.83,2.22,2939,73
2,TU Dresden,67.03,2.13,12399,69
3,ELZA Institute,51.62,1.64,1207,81
=4,Tehran University of Medical Sciences,50.33,1.6,744,53
=4,University of Geneva,50.33,1.6,2705,93
6,Harvard Medical School,49.0,1.56,1242,58
7,University of Zurich,48.07,1.53,1281,83
8,University of Siena,47.67,1.52,4661,54
=9,Narayana Nethralaya Bangalore,46.0,1.46,1554,51
=9,Humanitas University Milan,46.0,1.46,2337,48
11,Cleveland Clinic,45.47,1.45,2631,53
12,Wenzhou Medical University,45.17,1.44,908,61
13,Moorfields Eye Hospital,38.33,1.22,1488,45
14,Federal University of São Paulo,29.87,0.95,1849,40
15,All India Institute of Medical Sciences,29.83,0.95,1078,31
16,Cardiff University,28.75,0.92,1116,30
17,Laservision Institute Athens,28.42,0.9,1797,37
18,Johns Hopkins University,26.83,0.85,962,29
19,LV Prasad Eye Institute,26.5,0.84,868,27
20,Noor Eye Hospital Tehran,25.83,0.82,798,27
21,University of Liverpool,25.33,0.81,622,36
=22,Bascom Palmer Eye Institute,25.0,0.8,1059,29
=22,Shahid Beheshti University of Medical Sciences,25.0,0.8,434,26
24,University of Bern,24.5,0.78,712,31
25,New Zealand National Eye Centre,24.0,0.76,970,24
26,Tel Aviv University,23.5,0.75,400,29
27,University of California,23.0,0.73,324,25
28,IROC Zurich,22.67,0.72,2524,31
29,University Medical Center Utrecht,22.0,0.7,1238,22
30,Beyoglu Eye Training and Research Hospital,20.5,0.65,614,20
31,University of Southern California,20.48,0.65,905,60
32,Maastricht University,18.83,0.6,755,20
33,Isfahan University of Medical Sciences,18.0,0.57,273,18
=34,Aravind Eye Care System,17.0,0.54,383,17
=34,Sankara Nethralaya Chennai,17.0,0.54,357,17
36,Sapienza University of Rome,16.5,0.53,328,17
37,Columbia University,16.0,0.51,270,17
38,Aarhus University Hospital,15.5,0.49,551,16
39,University College London,15.33,0.49,258,18
40,Ain Shams University,15.25,0.49,453,16
