rank,institution,publications,pct_of_resolved,citations,n_cited_known
1,University of Crete,69,2.2,3003,69
2,TU Dresden / University Hospital Carl Gustav Carus,67,2.13,12593,67
3,University of Zurich,56,1.78,1689,56
4,ELZA Institute,54,1.72,1248,54
5,Cleveland Clinic,49,1.56,2877,49
=6,Narayana Nethralaya Bangalore,45,1.43,1482,45
=6,Humanitas University Milan,45,1.43,2237,45
8,Wenzhou Medical University,43,1.37,762,43
9,University of Siena,41,1.31,4266,41
10,Laservision Institute Athens,37,1.18,2231,37
11,Moorfields Eye Hospital,35,1.11,1256,34
12,Massachusetts Eye and Ear,32,1.02,786,32
=13,Farabi Eye Hospital,31,0.99,405,31
=13,All India Institute of Medical Sciences,31,0.99,1142,31
15,Federal University of São Paulo,30,0.96,1760,30
=16,Cardiff University,28,0.89,1110,28
=16,Geneva University Hospitals,28,0.89,2008,28
=18,Johns Hopkins University,26,0.83,934,26
=18,LV Prasad Eye Institute,26,0.83,863,26
20,Noor Eye Hospital Tehran,25,0.8,770,25
=21,Shahid Beheshti University of Medical Sciences,24,0.76,428,24
=21,New Zealand National Eye Centre,24,0.76,970,24
23,Tehran University of Medical Sciences,23,0.73,359,23
=24,Bascom Palmer Eye Institute,22,0.7,921,22
=24,University of California,22,0.7,326,22
=24,Tel Aviv University,22,0.7,431,22
=24,University Medical Center Utrecht,22,0.7,1238,22
=28,Beyoglu Eye Training and Research Hospital,21,0.67,614,20
=28,Harvard Medical School,21,0.67,599,21
30,IROC Zurich,20,0.64,2440,20
31,Maastricht University,19,0.61,746,19
=32,Isfahan University of Medical Sciences,18,0.57,273,18
=32,University of Liverpool,18,0.57,368,18
=34,Aravind Eye Care System,17,0.54,383,17
=34,Sankara Nethralaya Chennai,17,0.54,357,17
=34,Columbia University,17,0.54,282,17
=37,Ulucanlar Eye Training and Research Hospital,16,0.51,185,16
=37,Aarhus University Hospital,16,0.51,559,16
=37,Eye Institute and Department of Ophthalmology,16,0.51,187,16
=37,Sapienza University of Rome,16,0.51,327,16
