rank,institution,publications,pct_of_resolved,citations,n_cited_known
1,University of Geneva,93,2.96,3641,93
2,University of Zurich,83,2.64,2070,83
3,ELZA Institute,81,2.58,2024,81
4,University of Crete,73,2.32,3040,73
5,TU Dresden,69,2.2,12663,69
6,Wenzhou Medical University,61,1.94,1296,61
7,University of Southern California,60,1.91,2275,60
8,Harvard Medical School,58,1.85,1470,58
9,University of Siena,54,1.72,4829,54
=10,Tehran University of Medical Sciences,53,1.69,761,53
=10,Cleveland Clinic,53,1.69,3087,53
12,Narayana Nethralaya Bangalore,51,1.62,1893,51
13,Humanitas University Milan,48,1.53,2490,48
14,Moorfields Eye Hospital,46,1.46,1754,45
15,Federal University of São Paulo,40,1.27,2164,40
16,Laservision Institute Athens,37,1.18,2231,37
17,University of Liverpool,36,1.15,950,36
=18,University of Bern,31,0.99,781,31
=18,IROC Zurich,31,0.99,2694,31
=18,All India Institute of Medical Sciences,31,0.99,1142,31
21,Cardiff University,30,0.96,1125,30
=22,Bascom Palmer Eye Institute,29,0.92,1199,29
=22,Johns Hopkins University,29,0.92,993,29
=22,Tel Aviv University,29,0.92,517,29
=25,Noor Eye Hospital Tehran,27,0.86,828,27
=25,LV Prasad Eye Institute,27,0.86,874,27
27,Shahid Beheshti University of Medical Sciences,26,0.83,440,26
28,University of California,25,0.8,342,25
29,New Zealand National Eye Centre,24,0.76,970,24
30,University Medical Center Utrecht,22,0.7,1238,22
=31,Beyoglu Eye Training and Research Hospital,21,0.67,614,20
=31,Centre for Eye Research Australia,21,0.67,1904,21
=31,Chinese University of Hong Kong,21,0.67,455,21
=34,University of Nottingham,20,0.64,904,20
=34,Maastricht University,20,0.64,773,20
=34,University of Toronto,20,0.64,316,20
=37,Antwerp University Hospital,19,0.61,686,19
=37,Shanghai Research Center of Ophthalmology and Optometry,19,0.61,237,19
=37,The University of Sydney,19,0.61,526,19
=37,University of Wenzhou,19,0.61,595,19
