rank,institution,publications,pct_of_resolved,total_citations,n_cited_known
=1,TU Dresden / University Hospital Carl Gustav Carus,50,1.73,12116,50
=1,University of Crete,50,1.73,2632,50
3,Laservision Institute Athens,33,1.14,2127,33
=4,University of Zurich,28,0.97,675,28
=4,Narayana Nethralaya Bangalore,28,0.97,1165,28
=6,Wenzhou Medical University,26,0.9,423,26
=6,Cleveland Clinic,26,0.9,1887,26
=6,University of Siena,26,0.9,3656,26
=9,Massachusetts Eye and Ear,24,0.83,618,24
=9,All India Institute of Medical Sciences,24,0.83,923,24
11,Federal University of São Paulo,23,0.8,1638,23
12,Farabi Eye Hospital,22,0.76,194,22
13,New Zealand National Eye Centre,21,0.73,931,21
14,Humanitas University Milan,20,0.69,1548,20
=15,LV Prasad Eye Institute,19,0.66,478,19
=15,Moorfields Eye Hospital,19,0.66,749,18
=15,University Medical Center Utrecht,19,0.66,1075,19
18,Columbia University,17,0.59,282,17
19,Johns Hopkins University,16,0.55,603,16
=20,Aravind Eye Care System,15,0.52,364,15
=20,Sankara Nethralaya Chennai,15,0.52,277,15
=20,Cardiff University,15,0.52,783,15
=20,Noor Eye Hospital Tehran,15,0.52,614,15
=24,Tel Aviv University,14,0.48,277,14
=24,Sohag University,14,0.48,279,14
=26,ELZA Institute,13,0.45,126,13
=26,Ulucanlar Eye Training and Research Hospital,13,0.45,170,13
=26,University of California,13,0.45,247,13
=26,IROC Zurich,13,0.45,2168,13
=26,University of Houston,13,0.45,595,13
=26,Shandong Provincial Hospital Affiliated to Shandong University,13,0.45,197,13
=32,The Eye Foundation,12,0.41,160,12
=32,Shahid Beheshti University of Medical Sciences,12,0.41,231,12
=32,Peking University,12,0.41,103,12
=32,Isfahan University of Medical Sciences,12,0.41,167,12
=32,Cornea and Laser Eye Institute-Hersh Vision Group,12,0.41,1796,12
=37,Tehran University of Medical Sciences,10,0.35,130,10
=37,Beyoglu Eye Training and Research Hospital,10,0.35,368,10
=37,Eye Institute and Department of Ophthalmology,10,0.35,161,10
=37,Shiraz University of Medical Sciences,10,0.35,174,10
=37,Umeå University,10,0.35,164,10
=37,University of Illinois Chicago,10,0.35,117,10
=37,The University of Sydney,10,0.35,397,10
=37,University of Toronto,10,0.35,120,10
=37,University of Nottingham,10,0.35,572,10
=37,Bascom Palmer Eye Institute,10,0.35,557,10
=47,Centre for Eye Research Australia,9,0.31,1534,9
=47,Harvard Medical School,9,0.31,313,9
=47,Medical University of Vienna,9,0.31,224,9
=47,Sapienza University of Rome,9,0.31,205,9
