rank,institution,publications,pct_of_resolved,citations,n_cited_known
1,TU Dresden,52.03,1.68,12040,54
2,University of Crete,49.83,1.61,2624,56
3,zurich_cxl,46.12,1.49,2910,73
4,Narayana Nethralaya Bangalore,33.7,1.09,1256,36
5,University of Geneva,32.45,1.05,1839,51
6,Cleveland Clinic,32.37,1.05,2032,36
7,Wenzhou Medical University,31.42,1.02,645,43
8,University of Siena,30.33,0.98,3896,35
9,Tehran University of Medical Sciences,29.83,0.96,300,33
10,Harvard Medical School,29.67,0.96,818,37
11,Humanitas University Milan,29.5,0.95,1972,32
12,Federal University of São Paulo,23.08,0.75,1687,27
13,All India Institute of Medical Sciences,22.83,0.74,859,24
14,New Zealand National Eye Centre,22.0,0.71,953,22
15,Laservision Institute Athens,21.92,0.71,1692,34
16,Moorfields Eye Hospital,21.5,0.7,758,22
17,University Medical Center Utrecht,20.0,0.65,1181,20
18,LV Prasad Eye Institute,19.5,0.63,475,20
19,Noor Eye Hospital Tehran,18.83,0.61,659,21
20,Tel Aviv University,18.0,0.58,281,22
=21,Beyoglu Eye Training and Research Hospital,15.5,0.5,544,16
=21,Columbia University,15.5,0.5,269,17
23,Johns Hopkins University,15.33,0.5,604,18
=24,Aravind Eye Care System,15.0,0.48,364,15
=24,Isfahan University of Medical Sciences,15.0,0.48,239,15
26,Sankara Nethralaya Chennai,14.5,0.47,264,15
27,Cardiff University,14.33,0.46,775,15
28,Sohag University,14.0,0.45,279,14
=29,University of California,13.0,0.42,247,13
=29,Bascom Palmer Eye Institute,13.0,0.42,644,18
31,Shahid Beheshti University of Medical Sciences,12.5,0.4,228,14
=32,The Eye Foundation,12.0,0.39,160,12
=32,University of Bern,12.0,0.39,471,16
=32,University of Houston,12.0,0.39,560,13
35,Ulucanlar Eye Training and Research Hospital,11.67,0.38,151,14
36,University of Illinois Chicago,11.5,0.37,129,12
37,Peking University,11.0,0.36,93,12
38,Sapienza University of Rome,10.5,0.34,243,11
39,Shandong Provincial Hospital Affiliated to Shandong University,10.25,0.33,231,14
40,Umeå University,10.0,0.32,164,10
