rank,institution,publications,pct_of_resolved,citations,n_cited_known
1,TU Dresden,52.03,1.68,12040,54
2,University of Crete,49.83,1.61,2624,56
3,Narayana Nethralaya Bangalore,33.7,1.09,1256,36
4,University of Geneva,32.45,1.05,1839,51
5,Cleveland Clinic,32.37,1.05,2032,36
6,Wenzhou Medical University,31.42,1.02,645,43
7,University of Siena,30.33,0.98,3896,35
8,Tehran University of Medical Sciences,29.83,0.96,300,33
9,Harvard Medical School,29.67,0.96,818,37
10,Humanitas University Milan,29.5,0.95,1972,32
11,University of Zurich,23.67,0.77,591,41
12,Federal University of São Paulo,23.08,0.75,1687,27
13,All India Institute of Medical Sciences,22.83,0.74,859,24
14,New Zealand National Eye Centre,22.0,0.71,953,22
15,Laservision Institute Athens,21.92,0.71,1692,34
16,Moorfields Eye Hospital,21.5,0.7,758,22
17,University Medical Center Utrecht,20.0,0.65,1181,20
18,LV Prasad Eye Institute,19.5,0.63,475,20
19,Noor Eye Hospital Tehran,18.83,0.61,659,21
20,Tel Aviv University,18.0,0.58,281,22
21,IROC Zurich,15.83,0.51,2271,21
=22,Beyoglu Eye Training and Research Hospital,15.5,0.5,544,16
=22,Columbia University,15.5,0.5,269,17
24,Johns Hopkins University,15.33,0.5,604,18
=25,Aravind Eye Care System,15.0,0.48,364,15
=25,Isfahan University of Medical Sciences,15.0,0.48,239,15
27,Sankara Nethralaya Chennai,14.5,0.47,264,15
28,Cardiff University,14.33,0.46,775,15
29,Sohag University,14.0,0.45,279,14
30,ELZA Institute,13.28,0.43,155,33
=31,University of California,13.0,0.42,247,13
=31,Bascom Palmer Eye Institute,13.0,0.42,644,18
33,Shahid Beheshti University of Medical Sciences,12.5,0.4,228,14
=34,The Eye Foundation,12.0,0.39,160,12
=34,University of Bern,12.0,0.39,471,16
=34,University of Houston,12.0,0.39,560,13
37,Ulucanlar Eye Training and Research Hospital,11.67,0.38,151,14
38,University of Illinois Chicago,11.5,0.37,129,12
39,Peking University,11.0,0.36,93,12
40,Sapienza University of Rome,10.5,0.34,243,11
