rank,institution,publications,pct_of_resolved,citations,n_cited_known
1,University of Crete,56,1.81,2815,56
2,TU Dresden,54,1.75,12304,54
3,University of Geneva,51,1.65,2366,51
4,Wenzhou Medical University,43,1.39,895,43
5,University of Zurich,41,1.33,1001,41
6,Harvard Medical School,37,1.2,1088,37
=7,Cleveland Clinic,36,1.16,2209,36
=7,Narayana Nethralaya Bangalore,36,1.16,1316,36
9,University of Siena,35,1.13,4102,35
10,Laservision Institute Athens,34,1.1,2217,34
=11,Tehran University of Medical Sciences,33,1.07,335,33
=11,ELZA Institute,33,1.07,548,33
13,Humanitas University Milan,32,1.03,2151,32
14,Federal University of São Paulo,27,0.87,1780,27
15,All India Institute of Medical Sciences,24,0.78,923,24
16,Moorfields Eye Hospital,23,0.74,768,22
=17,University of Southern California,22,0.71,699,22
=17,Tel Aviv University,22,0.71,395,22
=17,New Zealand National Eye Centre,22,0.71,953,22
=20,IROC Zurich,21,0.68,2393,21
=20,Noor Eye Hospital Tehran,21,0.68,673,21
=22,LV Prasad Eye Institute,20,0.65,483,20
=22,University Medical Center Utrecht,20,0.65,1181,20
=24,Johns Hopkins University,18,0.58,613,18
=24,Bascom Palmer Eye Institute,18,0.58,904,18
=26,Beyoglu Eye Training and Research Hospital,17,0.55,570,16
=26,Columbia University,17,0.55,282,17
=26,Chinese University of Hong Kong,17,0.55,409,17
29,University of Bern,16,0.52,542,16
=30,Aravind Eye Care System,15,0.48,364,15
=30,Sankara Nethralaya Chennai,15,0.48,277,15
=30,Cardiff University,15,0.48,783,15
=30,Isfahan University of Medical Sciences,15,0.48,239,15
=34,Shahid Beheshti University of Medical Sciences,14,0.45,235,14
=34,Centre for Eye Research Australia,14,0.45,1666,14
=34,Shanghai Research Center of Ophthalmology and Optometry,14,0.45,216,14
=34,Ulucanlar Eye Training and Research Hospital,14,0.45,184,14
=34,Sohag University,14,0.45,279,14
=34,University of Toronto,14,0.45,161,14
=34,Shandong Provincial Hospital Affiliated to Shandong University,14,0.45,288,14
