rank,institution,publications,pct_of_resolved,citations,n_cited_known
1,TU Dresden / University Hospital Carl Gustav Carus,50.03,1.73,11922,52
2,University of Crete,45.83,1.58,2501,51
3,Narayana Nethralaya Bangalore,27.7,0.96,1153,30
4,Wenzhou Medical University,25.92,0.9,564,37
5,Cleveland Clinic,23.37,0.81,1717,27
6,University of Siena,23.33,0.81,3492,27
7,All India Institute of Medical Sciences,22.83,0.79,859,24
8,Federal University of São Paulo,22.58,0.78,1684,26
9,Massachusetts Eye and Ear,22.0,0.76,546,25
10,Farabi Eye Hospital,21.5,0.74,178,22
11,Laservision Institute Athens,21.42,0.74,1647,33
12,New Zealand National Eye Centre,21.0,0.73,931,21
13,Moorfields Eye Hospital,20.5,0.71,758,21
14,Humanitas University Milan,19.5,0.67,1580,21
15,University of Zurich,19.33,0.67,433,35
16,University Medical Center Utrecht,19.0,0.66,1075,19
17,LV Prasad Eye Institute,18.5,0.64,470,19
18,Tel Aviv University,16.5,0.57,265,20
19,Noor Eye Hospital Tehran,15.83,0.55,621,18
20,Columbia University,15.5,0.54,269,17
21,Johns Hopkins University,15.33,0.53,604,18
22,Aravind Eye Care System,15.0,0.52,364,15
=23,Sankara Nethralaya Chennai,14.5,0.5,264,15
=23,IROC Zurich,14.5,0.5,2232,19
25,Cardiff University,14.33,0.5,775,15
26,Sohag University,14.0,0.48,279,14
27,University of California,13.0,0.45,247,13
28,Shahid Beheshti University of Medical Sciences,12.5,0.43,228,14
=29,The Eye Foundation,12.0,0.41,160,12
=29,Isfahan University of Medical Sciences,12.0,0.41,167,12
=29,University of Houston,12.0,0.41,560,13
=29,Bascom Palmer Eye Institute,12.0,0.41,596,16
33,Ulucanlar Eye Training and Research Hospital,11.67,0.4,151,14
34,Beyoglu Eye Training and Research Hospital,11.5,0.4,394,13
35,University of Geneva,11.12,0.38,292,26
36,Peking University,11.0,0.38,93,12
37,University of Illinois Chicago,10.5,0.36,117,11
38,Umeå University,10.0,0.35,164,10
39,Cornea and Laser Eye Institute-Hersh Vision Group,9.83,0.34,1675,12
40,Centre for Eye Research Australia,9.64,0.33,1231,14
