journal,cxl_records,journal_total_2001_2025,cxl_share_pct,journal_total_excl_letters_comments_editorials,cxl_share_pct_excl,pubmed_query
Cornea,331,7534,4.39,6889,4.8,"""8216186""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
J Refract Surg,268,3499,7.66,3019,8.88,"""9505927""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
J Cataract Refract Surg,248,10580,2.34,7732,3.21,"""8604171""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Clin Ophthalmol,100,6179,1.62,6110,1.64,"""101321512""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Int Ophthalmol,99,5006,1.98,4902,2.02,"""7904294""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Invest Ophthalmol Vis Sci,95,18357,0.52,17857,0.53,"""7703701""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Indian J Ophthalmol,80,9529,0.84,6941,1.15,"""0405376""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Am J Ophthalmol,78,10573,0.74,8661,0.9,"""0370500""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Eur J Ophthalmol,73,5944,1.23,5718,1.28,"""9110772""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
J Ophthalmol,68,2983,2.28,2932,2.32,"""101524199""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Curr Eye Res,55,4057,1.36,3993,1.38,"""8104312""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Graefes Arch Clin Exp Ophthalmol,52,7609,0.68,6797,0.77,"""8205248""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Acta Ophthalmol,50,5106,0.98,3992,1.25,"""101468102""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Int J Ophthalmol,49,4170,1.18,4137,1.18,"""101553860""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Transl Vis Sci Technol,48,3078,1.56,3043,1.58,"""101595919""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Klin Monbl Augenheilkd,46,4917,0.94,4613,1.0,"""0014133""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Exp Eye Res,45,6518,0.69,6306,0.71,"""0370707""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Eye (Lond),45,9813,0.46,6849,0.66,"""8703986""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
BMC Ophthalmol,43,5101,0.84,5080,0.85,"""100967802""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
Ophthalmology,43,10876,0.4,8004,0.54,"""7802443""[nlmid] AND (""2001/01/01""[PDAT] : ""2025/12/31""[PDAT])"
