variant,canonical
a-cxl,accelerated CXL
acanthamoeba keratitis,infectious keratitis
accelerated,accelerated CXL
accelerated collagen cross-linking,accelerated CXL
accelerated collagen crosslinking,accelerated CXL
accelerated corneal collagen cross-linking,accelerated CXL
accelerated corneal cross-linking,accelerated CXL
accelerated corneal crosslinking,accelerated CXL
accelerated cross-linking,accelerated CXL
accelerated crosslinking,accelerated CXL
accelerated cxl,accelerated CXL
accelerated epithelium-off cross-linking,accelerated CXL
accelerated transepithelial cross-linking,accelerated CXL
acxl,accelerated CXL
ai,artificial intelligence
anterior segment oct,OCT
anterior segment optical coherence tomography,OCT
artificial intelligence,artificial intelligence
as-oct,OCT
bacterial keratitis,infectious keratitis
biomechanical properties,corneal biomechanics
biomechanics,corneal biomechanics
brillouin microscopy,corneal biomechanics
cairs,intracorneal ring segments
central corneal thickness,corneal thickness
cheratocono,keratoconus
child,paediatric
childhood keratoconus,paediatric keratoconus
children,paediatric
collagen,collagen
collagen cross-linking,corneal cross-linking (CXL)
collagen crosslinking,corneal cross-linking (CXL)
conventional cross-linking,epi-off CXL
conventional cxl,epi-off CXL
corneal biomechanics,corneal biomechanics
corneal collagen cross linking,corneal cross-linking (CXL)
corneal collagen cross-linking,corneal cross-linking (CXL)
corneal collagen crosslinking,corneal cross-linking (CXL)
corneal collagen cxl,corneal cross-linking (CXL)
corneal cross-linking,corneal cross-linking (CXL)
corneal crosslinking,corneal cross-linking (CXL)
corneal ectasia,corneal ectasia
corneal haze,corneal haze
corneal hysteresis,corneal biomechanics
corneal infection,infectious keratitis
corneal melting,corneal melting
corneal stiffness,corneal biomechanics
corneal thickness,corneal thickness
corneal tomography,corneal topography
corneal topography,corneal topography
corneal transplant,keratoplasty
corneal transplantation,keratoplasty
corneal ulcer,infectious keratitis
cornée,cornea
corvis st,corneal biomechanics
cross linking,corneal cross-linking (CXL)
cross-linking,corneal cross-linking (CXL)
crosslinking,corneal cross-linking (CXL)
cxl,corneal cross-linking (CXL)
dalk,keratoplasty
deep anterior lamellar keratoplasty,keratoplasty
deep learning,artificial intelligence
demarcation line,demarcation line
dresden protocol,epi-off CXL
ectasia,corneal ectasia
epi-off,epi-off CXL
epi-off cxl,epi-off CXL
epi-on,transepithelial (epi-on) CXL
epi-on cxl,transepithelial (epi-on) CXL
epi-on cxl (transepithelial),transepithelial (epi-on) CXL
epithelium off cxl,epi-off CXL
epithelium-off,epi-off CXL
epithelium-off cross-linking,epi-off CXL
epithelium-off cxl,epi-off CXL
epithelium-on,transepithelial (epi-on) CXL
epithelium-on cxl,transepithelial (epi-on) CXL
fungal keratitis,infectious keratitis
haze,corneal haze
high fluence cross-linking,accelerated CXL
high myopia,myopia
high-fluence cxl,accelerated CXL
higher order aberrations,higher-order aberrations
higher-order aberrations,higher-order aberrations
hoa,higher-order aberrations
i-cxl,transepithelial (epi-on) CXL
iatrogenic ectasia,post-refractive ectasia
icrs,intracorneal ring segments
infectious keratitis,infectious keratitis
intracorneal ring segment,intracorneal ring segments
intracorneal ring segments,intracorneal ring segments
intrastromal corneal ring segments,intracorneal ring segments
iontophoresis,transepithelial (epi-on) CXL
iontophoresis cxl,transepithelial (epi-on) CXL
iontophoretic cxl,transepithelial (epi-on) CXL
keratectasia,corneal ectasia
keratitis,infectious keratitis
keratocone,keratoconus
keratoconus,keratoconus
keratoconus progression,keratoconus progression
keratokonus,keratoconus
keratometry,keratometry
keratomycosis,infectious keratitis
keratoplasty,keratoplasty
kmax,keratometry
kxl,corneal cross-linking (CXL)
kératocône,keratoconus
laser in situ keratomileusis,LASIK
laser refractive surgery,refractive surgery
lasik,LASIK
lasik xtra,LASIK
machine learning,artificial intelligence
maximum keratometry,keratometry
microbial keratitis,infectious keratitis
myopia,myopia
oct,OCT
ocular response analyzer,corneal biomechanics
optical coherence elastography,corneal biomechanics
optical coherence tomography,OCT
pachymetry,corneal thickness
pack cxl,PACK-CXL
pack-cxl,PACK-CXL
paediatric,paediatric
paediatric keratoconus,paediatric keratoconus
pediatric,paediatric
pediatric keratoconus,paediatric keratoconus
pellucid marginal degeneration,pellucid marginal degeneration
penetrating keratoplasty,keratoplasty
pentacam,corneal topography
photoactivated chromophore,PACK-CXL
photoactivated chromophore for keratitis,PACK-CXL
photorefractive keratectomy,photorefractive keratectomy
pmd,pellucid marginal degeneration
post lasik ectasia,post-refractive ectasia
post-lasik ectasia,post-refractive ectasia
post-refractive ectasia,post-refractive ectasia
prk,photorefractive keratectomy
progression,keratoconus progression
progressive keratoconus,keratoconus
queratocono,keratoconus
refractive surgery,refractive surgery
riboflavin,riboflavin
riboflavin uv-a corneal cross-linking,corneal cross-linking (CXL)
riboflavin/ultraviolet-a cross-linking,corneal cross-linking (CXL)
riboflavin/uva cross-linking,corneal cross-linking (CXL)
rose bengal,rose bengal
rose bengal photodynamic therapy,rose bengal
scheimpflug,corneal topography
scheimpflug imaging,corneal topography
standard cross-linking,epi-off CXL
standard cxl,epi-off CXL
stress-strain,corneal biomechanics
stromal demarcation line,demarcation line
thin cornea,thin cornea
thin corneas,thin cornea
tomography,corneal topography
topography,corneal topography
trans-epithelial,transepithelial (epi-on) CXL
trans-epithelial cxl,transepithelial (epi-on) CXL
trans-prk,photorefractive keratectomy
transepithelial,transepithelial (epi-on) CXL
transepithelial corneal cross-linking,transepithelial (epi-on) CXL
transepithelial cross-linking,transepithelial (epi-on) CXL
transepithelial crosslinking,transepithelial (epi-on) CXL
transepithelial cxl,transepithelial (epi-on) CXL
ultrathin cornea,thin cornea
ultraviolet a,ultraviolet-A (UVA)
ultraviolet-a,ultraviolet-A (UVA)
uv-a,ultraviolet-A (UVA)
uva,ultraviolet-A (UVA)
uva-riboflavin cross-linking,corneal cross-linking (CXL)
uva/riboflavin cross-linking,corneal cross-linking (CXL)
vitamin b2,riboflavin
young's modulus,corneal biomechanics
