rank,country,publications,population_2024,pubs_per_million
1,Switzerland,132,9005582,14.66
2,Greece,118,10405134,11.34
3,New Zealand,37,5290000,6.99
4,Israel,48,10002200,4.8
5,Lebanon,21,5805962,3.62
6,Italy,194,58952704,3.29
7,Hong Kong,23,7524100,3.06
8,Sweden,31,10569709,2.93
9,Turkey,216,85518661,2.53
10,Germany,191,83516593,2.29
11,United Kingdom,153,69281000,2.21
12,Netherlands,38,17993485,2.11
13,Australia,53,27194286,1.95
14,Romania,30,19051804,1.57
15,Spain,69,48848840,1.41
16,Canada,54,41262329,1.31
17,Iran,109,91567738,1.19
18,United States,386,340003797,1.14
19,Saudi Arabia,34,35300280,0.96
20,France,48,68551653,0.7
21,Egypt,78,116538258,0.67
22,South Korea,25,51751065,0.48
23,Brazil,67,211998573,0.32
24,Japan,38,123975371,0.31
25,Russia,32,143669648,0.22
26,China,257,1408975000,0.18
27,India,193,1450935791,0.13
,Switzerland excluding zurich_cxl first-author records,80,9005582,8.88
