pmid,status,year,journal,title,arm,flags
42686044,added,2025,Cornea,Outcomes of the Sub400 Protocol and Contact Lens-Assisted Corneal Cross-Linking in Advanced Thin-Cornea Keratoconus: Clinical Efficacy and Long-Term Visual Stab,corneal_cxl_phrase|CXL_abbrev|mesh_CXL,ophthalmology_journal
41982825,added,2025,Journal of current ophthalmology,Mesenchymal Stem Cell-Derived Exosomes for Keratoconus: A Novel Therapeutic Approach.,corneal_cxl_phrase,ophthalmology_journal
41488431,added,2025,Materials today. Bio,"Antibiotic nanozyme hydrogel depot for single-injection MDR bacterial keratitis therapy via localized antibacterial, pro-healing and corneal reinforcement.",corneal_cxl_phrase,cxl_signal_in_keywords_only
41470103,added,2025,"Medicina (Kaunas, Lithuania)",Can Insulin Drops Accelerate Corneal Healing After Corneal Cross-Linking? A Preliminary Case Series.,corneal_cxl_phrase|CXL_abbrev|mesh_CXL,
41460917,added,2025,Eye & contact lens,Evaluation of Optical Coherence Tomography-Angiography Findings in Keratoconus Patients Treated With Accelerated Cross-linking Protocol.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
41411984,added,2025,Journal francais d'ophtalmologie,Risk factors for keratoconus progression and changes in corneal swept source OCT parameters.,CXL_abbrev|bare_crosslink+disease,ophthalmology_journal
41212961,added,2025,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Extracorporeal Optimization of Corneal Allogenic Intrastromal Ring Segments (ECO-CAIRS) Using Ultra-high-Fluence Corneal Cross-linking.,corneal_cxl_phrase|CXL_abbrev|mesh_CXL,ophthalmology_journal
41022958,added,2025,Scientific reports,Ultraviolet A absorption coefficients of contact lenses for use in contact lens assisted corneal crosslinking for thin Corneas.,corneal_cxl_phrase|collagen_cxl_phrase|riboflavin_uv,
40986049,added,2025,Graefe's archive for clinical and experimental ophthalmology = Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie,Crosslinking for post refractive surgery ectasia: application and clinical outcomes.,CXL_abbrev|epi_on_off|bare_crosslink+disease,ophthalmology_journal
40806799,added,2025,Journal of clinical medicine,"Pellucid Marginal Degeneration: A Comprehensive Review of Pathophysiology, Diagnosis, and Management Strategies.",corneal_cxl_phrase|CXL_abbrev,
40761516,added,2025,Materials today. Bio,Construction and characteristics of an adjustable biomechanical in vitro corneal stromal model simulating keratoconus pathological features.,corneal_cxl_phrase|collagen_cxl_phrase|CXL_abbrev,
40755901,added,2025,Materials today. Bio,A bioequivalent cornea cross-linking method using photo-initiators LAP and visible light.,corneal_cxl_phrase|CXL_abbrev|riboflavin_uv,
40659372,added,2025,BMJ open ophthalmology,Polihexanide (PHMB) 0.08% versus currently used treatments for Acanthamoeba keratitis: indirect treatment comparisons.,CXL_abbrev,ophthalmology_journal
