stratum,pmid,year,journal,title,abstract_start,arm,relevant_yn,screened_by,date,note
corpus,37699556,2023,Cornea,Ray-Tracing Transepithelial Excimer Laser Central Corneal Remodeling Plus Pachymetry-Guided Accelerated Corneal Crosslinking for Keratoconus.,PURPOSE: The aim of this study was to report the 12 to 96 months results of a tissue-preservation algorithm based on ray-tracing-guided transepithelial excimer laser central corneal ablation (RT t-PRK) combined with individualized pachymetry-guided accelerated crosslinking (M nomogram ACXL) in young,corneal_cxl_phrase|CXL_abbrev,,,,
corpus,33859086,2022,Cornea,Outcomes After Corneal Crosslinking for Keratoconus in Children and Young Adults.,PURPOSE: The aim of this study was to assess the effect of corneal crosslinking on vision and keratometry in children and young adults with progressive keratoconus. METHODS: A retrospective medical records review of patients aged 22 years or younger with keratoconus who underwent corneal crosslinkin,corneal_cxl_phrase,,,,
corpus,39110318,2024,Ophthalmology and therapy,Could Automated Objective Measurements Acquired at the Preoperative Stage Estimate the Corrected Distance Visual Acuity after Corneal Cross-Linking in Keratoconus?,"INTRODUCTION: Objective markers describing corneal optical density (COD), thinnest corneal thickness (TCT), and anterior (ARC) and posterior (PRC) surface radii over the 3 mm thinnest region of the cornea were investigated to provide a model for estimating corrected distance visual acuity (CDVA) aft",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,36187250,2022,Biomedical optics express,Effectiveness of collagen cross-linking induced by two-photon absorption properties of a femtosecond laser in ex vivo human corneal stroma.,This study aimed to investigate the effectiveness of two-photon induced collagen cross-linking (CXL) using femtosecond lasers in human corneal stroma. An 800-nm femtosecond laser optical path for CXL was established. Corneal samples that received two-photon induced CXL and ultraviolet-A (UVA) CXL un,collagen_cxl_phrase|CXL_abbrev,,,,
corpus,23294178,2013,Molecular pharmaceutics,Cyclodextrin-mediated enhancement of riboflavin solubility and corneal permeability.,"Cyclodextrins are water-soluble cyclic oligosaccharides consisting of six, seven, and eight α-(1,4)-linked glucopyranose subunits. This study reports the use of different cyclodextrins in eye drop formulations to improve the aqueous solubility and corneal permeability of riboflavin. Riboflavin is a ",corneal_cxl_phrase,,,,
corpus,30984983,2019,"Journal of refractive surgery (Thorofare, N.J. : 1995)",Biomechanical Impact of Localized Corneal Cross-linking Beyond the Irradiated Treatment Area.,"PURPOSE: To investigate the stiffening effect of localized corneal cross-linking (L-CXL) within and beyond the irradiated region in three dimensions. METHODS: Ten porcine eyes were debrided of epithelium and incrementally soaked with 0.1% riboflavin solution. Using a customized, sharp-edged mask, ha",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,22051781,2012,Optometry and vision science : official publication of the American Academy of Optometry,Two cases of keratoconus diagnosed after pregnancy.,PURPOSE: This case report aims to demonstrate that pregnancy-induced biomechanical corneal changes in combination with risk factors for ectasia can develop into (the exacerbation of) keratoconus. CASE REPORT: We describe two women who were clinically diagnosed with keratoconus after their second pre,corneal_cxl_phrase,,,,
corpus,31487097,2019,Clinical & experimental ophthalmology,"Corneal refractive surgery combined with simultaneous corneal cross-linking: Indications, protocols and clinical outcomes-A review.","Corneal refractive surgery is one of the most common approaches for correction of refractive errors. Combined corneal refractive surgery and corneal cross-linking (CXL) has been proposed as a method to achieve better refractive stability and to prevent iatrogenic corneal ectasia. However, there are ",corneal_cxl_phrase|CXL_abbrev,,,,
corpus,25850703,2015,Cornea,"Relationship of Structural Characteristics to Biomechanical Profile in Normal, Keratoconic, and Crosslinked Eyes.","PURPOSE: To evaluate the correlation of corneal biomechanical parameters with structural characteristics in normal, keratoconic, and collagen crosslinked eyes. METHODS: A prospective observational study that included 50 normal, 100 keratoconic, and 25 crosslinked eyes. All eyes were imaged using a S",collagen_cxl_phrase,,,,
corpus,33852555,2021,Optometry and vision science : official publication of the American Academy of Optometry,Case Report: Double Intrastromal Corneal Ring Segment and Posterior Chamber Phakic Intraocular Lens Implantation.,"SIGNIFICANCE: Keratoconus can manifest asymmetrically, affecting binocularity and becoming a refractive problem that is sometimes complex to solve. We propose a therapeutic approach for correction of keratoconus based on parallel implantation of a second intrastromal corneal ring segment (ICRS). PUR",corneal_cxl_phrase,,,,
corpus,41022958,2025,Scientific reports,Ultraviolet A absorption coefficients of contact lenses for use in contact lens assisted corneal crosslinking for thin Corneas.,The purpose of this study was to compare the UVA absorption coefficients of multiple hydrogel and silicone hydrogel lenses (with and without pre-soaking in riboflavin) to those reported for the human cornea. The study also assessed the effect of different contact lens pre-soak times (in riboflavin) ,corneal_cxl_phrase|collagen_cxl_phrase|riboflavin_uv,,,,
