scope,counting,treatment,institution,publications,rank
first author,primary,separate,ELZA Institute,14,=27
first author,primary,separate,University of Zurich,32,6
first author,primary,separate,IROC Zurich,14,=27
first author,primary,separate,University Hospital Zurich,0,
first author,primary,merged,zurich_cxl (ELZA + UZH/CABMM + IROC),60,1
first author,primary,merged-table context,TU Dresden,52,3
first author,primary,merged-table context,University of Crete,55,2
first author,primary,merged-table context,Tehran University of Medical Sciences,32,9
first author,primary,merged-table context,Wenzhou Medical University,31,10
first author,whole,separate,ELZA Institute,33,8
first author,whole,separate,University of Zurich,39,4
first author,whole,separate,IROC Zurich,21,=21
first author,whole,separate,University Hospital Zurich,0,
first author,whole,merged,zurich_cxl (ELZA + UZH/CABMM + IROC),73,1
first author,whole,merged-table context,TU Dresden,54,3
first author,whole,merged-table context,University of Crete,56,2
first author,whole,merged-table context,Tehran University of Medical Sciences,33,11
first author,whole,merged-table context,Wenzhou Medical University,43,5
all authors,primary,separate,ELZA Institute,54,4
all authors,primary,separate,University of Zurich,56,3
all authors,primary,separate,IROC Zurich,20,30
all authors,primary,separate,University Hospital Zurich,0,
all authors,primary,merged,zurich_cxl (ELZA + UZH/CABMM + IROC),111,1
all authors,primary,merged-table context,TU Dresden,67,3
all authors,primary,merged-table context,University of Crete,69,2
all authors,primary,merged-table context,Tehran University of Medical Sciences,51,=5
all authors,primary,merged-table context,Wenzhou Medical University,43,=10
all authors,whole,separate,ELZA Institute,81,=1
all authors,whole,separate,University of Zurich,81,=1
all authors,whole,separate,IROC Zurich,31,=19
all authors,whole,separate,University Hospital Zurich,8,=127
all authors,whole,merged,zurich_cxl (ELZA + UZH/CABMM + IROC),131,1
all authors,whole,merged-table context,TU Dresden,69,4
all authors,whole,merged-table context,University of Crete,73,3
all authors,whole,merged-table context,Tehran University of Medical Sciences,53,=9
all authors,whole,merged-table context,Wenzhou Medical University,61,5
